"Channel_ID","Channel_Name","Channel_Views","Channel_Subscriptions","Channel_Vids"
"UCfwE_ODI1YTbdjkzuSi1Nag","TheQuartering","94498403","465765","616"
"UCMrpRnyBJhgVBy3rm0K4P5w","YellowFlash 2","7940612","44728","251"
"UCMvVQIAfsGwzrfPLxiaIG8g","Geeks + Gamers","33166070","127031","1083"
"UCUZAUoL2_bd9cR8R5T_iSlQ","John Talks","5623510","20667","217"
"UCjYIwOnxkACYwhNGBWnEOzw","Declan Black","803431","11994","179"
"UCDVb4m_5QHhZElT47E1oODg","The Dave Cullen Show","10068347","88156","79"
"UCxXUQuvoiIAlpM2osoAitjQ ","mundanematt","87385575","139964","5064"
"UCinGCtfmkbSTCH7C8BF6HZA","Alteori","33635133","123306","928"
"UCYjZ89DFZ9_kR_RA-TXMdMw","SC Reviews","6676440","0","1221"
"UCRWsFMLzGGJKLnAXJ9U93_A","That Star Wars Girl","2860826","63479","111"
"UCp8nOGQKLpFhtoIOOUVK40g ","ComicArtistPro Secrets","22222872","107564","976"
"UCkWaGQyPzg2aUoMMpEd_T_A ","WorldClassBullshitters","19914113","100579","665"
"UCvrd6VtgWF7CwaZH1S0N-Qg","Midnight's Edge","16333467","102529","244"
"UCmKtlNiv6ht63DpTJN4B88g","Odin's Movie Blog","1883633","13591","381"
"UCIgbxKzg2BpGN_AQ6uarXDw","The Amazing Lucas","29569846","244918","635"
"UCFxdcuY-S6yjZGq_2cjilHg","Bulldog Mindset","19147847","178080","2560"
"UCW40A7sTHElSYanciIGvBkA","Robert Storms","4029914","18639","598"
"UC4gD0czpXVv_LpADTSU624g","Clownfish TV","3909223","25392","355"
"UCl9s0VpZwQuvTCyZj_VtCwg","Sinatra_Says","15383708","122952","389"
